text,o4mini_label,4o_mini_label,llama_label,qwen_4b_label,o4mini_label_short,4o_mini_label_short,llama_label_short,qwen_4b_label_short,label,o4mini_drug_labels,4o_mini_drug_labels,llama_drug_labels,qwen_4b_label_short,found_index_terms,DEA_found_index_terms,pubchem_found_index_terms,GPT_found_index_terms,redmed_found_index_terms
"The guy was hanged in Singapore because he was arrested with 42 grams of heroin.  Here in Brazil, mega dealer André do Rap, arrested with tons of cocaine, was released by the Supreme court !",True,True,True,False,T,F,F,T,T,['other'],['other'],"['Heroin', 'Cocaine']",T,[],[],[],[],[]
"Ex heroin addict here and I endorse this message.

Also makes me think back to my counselors in rehab who were both 23 year old women who just graduated college with ZERO real life addiction experience 🤯🤯",False,False,False,True,T,F,F,T,T,['other'],,['other'],T,[],[],[],[],[]
"Yeah, my uncle's GF died a horribly painful, slow death where she was in screaming agony day in and day out despite top levels of morphine for MONTHS after the doctors thought she would die.  I'm horribly afraid my Grandma's about to go through the same thing.",False,False,False,False,F,F,F,F,T,['Morphine'],,"['other', 'Morphine']",F,['morphine'],['morphine'],['morphine'],['morphine'],['morphine']
"Innovation drives shift in cannabis product demand, especially around 4/20",True,False,False,False,T,F,F,F,T,['Marijuana'],,"['CBD', 'delta‑9‑THC‑COOH', 'delta‑8‑THC‑COOH', 'other']",F,[],[],[],[],[]
"When that codeine had u knocked all day, now ur fever finally breaks and u can't go to sleep!! 😔🙁",False,True,True,False,T,T,T,F,T,['Codeine'],['Codeine'],['Codeine'],F,['codeine'],['codeine'],['codeine'],['codeine'],['codeine']
420 cannabis festival: Weed prepares to host blowout 420 cannabis festival,True,True,False,True,F,F,T,T,T,"['other', 'Marijuana']","['Marijuana', 'other']","['CBD', 'Marijuana']",T,['delta-9-thc-cooh'],['delta-9-thc-cooh'],[],[],[]
"Interpretation: Prosecutors knew for a long time that George Floyd died from a drug overdose but they wanted black people rioting and looting across the country because Democrats plantation supervisors saw political opportunity in the unrest. 
Sick and twisted.",False,False,False,False,F,F,F,T,T,,,['other'],T,[],[],[],[],[]
"Says he focused on 2 other causes of Floyd's death.

Looked at stronger heart conditions as the primary cause of death.

He also looked at a drug overdose as a potential cause.

But his ultimate finding was that Floyd died by a lack of oxygen triggering a cardiopulmonary arrest.",False,False,False,False,F,F,F,T,T,,,['other'],T,[],[],[],[],[]
"First one and the third one the best. Love the actress that playes the """"""drug dealer"""""" one in the first and third",False,False,False,False,F,F,F,T,T,,['other'],['other'],T,[],[],[],[],[]
"These numbers equate to more than one overdose each day, and it's not uncommon for the same people to overdose again and again. In these first three months of 2021, we have responded to another 136 overdoses and within the same time period.",False,False,False,False,F,F,F,F,T,,,['other'],F,['fentanyl'],[],[],[],[]
And they're no longer saying X passed from an OD. The sister and fam said he got the vaccine and had a heart attack😩 I didn't feel it was OD related. Reports no longer include overdose. Still sucks🥲,False,False,False,False,F,F,F,T,T,,,['other'],T,[],[],[],[],[]
i would die twist snap crack shake ANYTHING TO HAVE HIM RELEASE THIS.,False,False,True,True,F,T,F,T,F,['other'],['other'],['other'],T,[],[],[],[],[]
Long Covid's many and varying symptoms make it challenging to study. Can unleashing AI on real-world patient data crack the code?  reports:,False,False,False,False,F,F,F,F,F,,,['other'],F,[],[],[],[],[]
Im on Ocean Drive sipin' codeine w the top down 🏍,True,True,True,True,T,T,T,T,T,['Codeine'],['Codeine'],['Codeine'],T,['codeine'],['codeine'],['codeine'],['codeine'],['codeine']
"I seen her in my dream, fell in love with codeine",True,True,True,True,T,T,T,T,T,['Codeine'],['Codeine'],['Codeine'],T,['codeine'],['codeine'],['codeine'],['codeine'],['codeine']
"Uh let me get a caesar salad, please, with croutons and codeine dressing, and a diet codeine. On a codeine diet. I get all that shit,",True,True,True,True,T,T,T,T,F,['Codeine'],['Codeine'],['Codeine'],T,['codeine'],['codeine'],['codeine'],['codeine'],['codeine']
New 'fraud squad' will crack down on criminals who steal taxpayer money -,False,False,False,False,F,F,F,F,F,,,['other'],F,[],[],[],[],[]
"IMHO adults should be able to buy quality, tested, clean cocaine & heroin & LSD from drug stores. What's in that, fentanyl? Nope, check the label. Prohibition is a crime & every substance should be legal. I'm moderate on a lot of stuff (serious!) but I'm hardcore on legalization.",True,True,True,True,T,T,T,T,T,"['other', 'LSD', 'Fentanyl']","['other', 'LSD', 'Fentanyl', 'Heroin']","['LSD', 'Heroin', 'Cocaine', 'Fentanyl']",T,"['fentanyl', 'methamphetamine', 'lsd']","['fentanyl', 'lsd']","['fentanyl', 'lsd']","['fentanyl', 'lsd']","['fentanyl', 'lsd']"
"When I were growing up all we had for brekkie was an intravenous injection of morphine, and had only a penguin in the Gobi to look forward to for supper!",True,True,False,False,T,T,T,T,T,['Morphine'],['Morphine'],['Morphine'],T,"['fentanyl', 'morphine']",['morphine'],['morphine'],"['fentanyl', 'morphine']",['morphine']
U one of them niggas that don't believe shit he died from overdose,True,True,True,True,F,T,T,T,T,,,['Fentanyl'],T,[],[],[],[],[]
"I was so uptight I thought I might overdose if I did that. Man, I was a stupid kid...",True,True,True,False,F,T,F,T,T,,,['other'],T,[],[],[],[],[]
Kept her in. Excruciating pain after eating. Gave her more codeine. IV fluids. Review in the morning. Just home xxx,False,True,False,False,F,F,T,F,T,['Codeine'],['Codeine'],['Codeine'],F,['codeine'],['codeine'],['codeine'],['codeine'],['codeine']
someone buy me cough syrup with codeine and promethazine in it yuuuurt,True,True,True,True,T,T,T,T,T,"['other', 'Codeine']",['Codeine'],['Codeine'],T,['codeine'],['codeine'],['codeine'],['codeine'],['codeine']
"Top 🇺🇸 #SocialMedia Obsession:

❶ Sex

❷ Drugs

❸ Overdose

❹ Dead People

❺ Previously, Trump

❻ Now, Anything Stupid

❼ As Catastrophized by Media;

❽ Mass Shootings & Empty ""Gun Reform"" Talk

❾ GQP & Extreme Left's Toxic/Anti-Democratic Antics🔴",False,False,True,True,F,F,F,T,F,['other'],,['other'],T,[],[],[],[],[]
"I was not the one that worked it out. 
Tim found the Wiki claimed overdose amount.
Tim compared that to the court medical expert claimed amount in Floyd's blood.

I would hope, the wiki was right and the expert had taken into account Floyd's body mass.",False,False,False,False,F,F,F,F,T,,,['other'],F,[],[],[],[],[]
Mike Tyson is Heading to Hippie Hill for 4/20,True,False,True,True,T,F,F,F,T,['Marijuana'],,['other'],F,[],[],[],[],[]
"Why Chauvin continued to apply that level of force, even when Floyd was motionless? Why didn't he administer the required drug for the apparent drug overdose? Why didn't he inform the paramedic that the suspect had apparently overdosed . . . ?",False,False,False,False,F,F,F,F,T,,,['other'],F,[],[],[],[],[]
It didn't make me as sick as the Morphine ER and actually got paired with because of how sick I was getting. THC would let me eat and not feel as sick to my stomach. It was low dose like 2.5 but also helped some with pain. I actually would skip a few doses of harder stuff.,True,False,True,True,F,T,F,T,T,"['other', 'Morphine']","['delta‑9‑THC‑COOH', 'other', 'Morphine']","['THC', 'Morphine']",T,['morphine'],['morphine'],['morphine'],['morphine'],['morphine']
"oooh i'm still learning their names, but i think go eun, ireh, and swan are potential biases!! and dosie rly stood out to me in the overdose cover (WHICH WAS SO GOOD)! who's yours?? :)",False,False,False,True,F,F,F,F,T,,,['other'],F,[],[],[],[],[]
