text,label,tweet_num,found_terms,found_index_terms,GPT_found_index_terms,pubchem_found_index_terms,redmed_found_index_terms,DEA_found_index_terms,4o_mini_label,o4mini_label,qwen_4b_label,llama_label,4o_mini_label_short,o4mini_label_short,qwen_4b_label_short,llama_label_short,4o_mini_drug_labels,o4mini_drug_labels,qwen_4b_drug_labels,llama_drug_labels,4o_mini_rag,o4mini_rag,qwen_4b_rag,llama_rag,is_about_illicit_drugs,drugs_mentioned
"The guy was hanged in Singapore because he was arrested with 42 grams of heroin.  Here in Brazil, mega dealer André do Rap, arrested with tons of cocaine, was released by the Supreme court !",T,14,[],[],[],[],[],[],True,True,False,True,F,T,T,F,['other'],['other'],['other'],"['Cocaine', 'Heroin']",['other'],['other'],['other'],"['Cocaine', 'Heroin']",F,['other']
"Ex heroin addict here and I endorse this message.

Also makes me think back to my counselors in rehab who were both 23 year old women who just graduated college with ZERO real life addiction experience 🤯🤯",T,194,[],[],[],[],[],[],False,False,True,False,F,T,T,F,,['other'],['other'],['other'],,['other'],['other'],['other'],F,['other']
"Yeah, my uncle's GF died a horribly painful, slow death where she was in screaming agony day in and day out despite top levels of morphine for MONTHS after the doctors thought she would die.  I'm horribly afraid my Grandma's about to go through the same thing.",T,315,['morphine'],['morphine'],['morphine'],['morphine'],['morphine'],['morphine'],False,False,False,False,F,F,F,F,,['Morphine'],['Morphine'],"['other', 'Morphine']",,['Morphine'],['Morphine'],"['other', 'Morphine']",F,['Morphine']
"Innovation drives shift in cannabis product demand, especially around 4/20",T,361,[],[],[],[],[],[],False,True,False,False,F,T,F,F,,['Marijuana'],['Marijuana'],"['CBD', 'other', 'delta‑9‑THC‑COOH', 'delta‑8‑THC‑COOH']",,['Marijuana'],['Marijuana'],"['CBD', 'other', 'delta‑9‑THC‑COOH', 'delta‑8‑THC‑COOH']",F,['Marijuana']
"When that codeine had u knocked all day, now ur fever finally breaks and u can't go to sleep!! 😔🙁",T,378,[' codeine'],['codeine'],['codeine'],['codeine'],['codeine'],['codeine'],True,False,False,True,T,T,F,T,['Codeine'],['Codeine'],['Codeine'],['Codeine'],['Codeine'],['Codeine'],['Codeine'],['Codeine'],T,['Codeine']
420 cannabis festival: Weed prepares to host blowout 420 cannabis festival,T,413,"['420', 'weed', '420']",['delta-9-thc-cooh'],[],[],[],['delta-9-thc-cooh'],True,True,True,False,F,F,T,T,"['other', 'Marijuana']","['other', 'Marijuana']",['Marijuana'],"['CBD', 'Marijuana']","['other', 'Marijuana']","['other', 'Marijuana']",['Marijuana'],"['CBD', 'Marijuana']",T,['Marijuana']
"Interpretation: Prosecutors knew for a long time that George Floyd died from a drug overdose but they wanted black people rioting and looting across the country because Democrats plantation supervisors saw political opportunity in the unrest. 
Sick and twisted.",T,502,[],[],[],[],[],[],False,False,False,False,F,F,T,F,,,['other'],['other'],,,['other'],['other'],F,
"Says he focused on 2 other causes of Floyd's death.

Looked at stronger heart conditions as the primary cause of death.

He also looked at a drug overdose as a potential cause.

But his ultimate finding was that Floyd died by a lack of oxygen triggering a cardiopulmonary arrest.",T,591,[],[],[],[],[],[],False,False,False,False,F,F,T,F,,,['other'],['other'],,,['other'],['other'],F,
"First one and the third one the best. Love the actress that playes the """"""drug dealer"""""" one in the first and third",T,634,[],[],[],[],[],[],False,False,False,False,F,F,T,F,['other'],,['other'],['other'],['other'],,['other'],['other'],F,
"These numbers equate to more than one overdose each day, and it's not uncommon for the same people to overdose again and again. In these first three months of 2021, we have responded to another 136 overdoses and within the same time period.",T,672,['overdoses'],['fentanyl'],[],[],[],[],False,False,False,False,F,F,F,F,,,,['other'],,,,['other'],F,
And they're no longer saying X passed from an OD. The sister and fam said he got the vaccine and had a heart attack😩 I didn't feel it was OD related. Reports no longer include overdose. Still sucks🥲,T,686,[],[],[],[],[],[],False,False,False,False,F,F,T,F,,,['other'],['other'],,,['other'],['other'],F,
i would die twist snap crack shake ANYTHING TO HAVE HIM RELEASE THIS.,F,698,[],[],[],[],[],[],False,False,True,True,T,F,T,F,['other'],['other'],['other'],['other'],['other'],['other'],['other'],['other'],F,
Long Covid's many and varying symptoms make it challenging to study. Can unleashing AI on real-world patient data crack the code?  reports:,F,756,[],[],[],[],[],[],False,False,False,False,F,F,F,F,,,['other'],['other'],,,['other'],['other'],F,
Im on Ocean Drive sipin' codeine w the top down 🏍,T,990,['codeine'],['codeine'],['codeine'],['codeine'],['codeine'],['codeine'],True,True,True,True,T,T,T,T,['Codeine'],['Codeine'],['Codeine'],['Codeine'],['Codeine'],['Codeine'],['Codeine'],['Codeine'],T,['Codeine']
"I seen her in my dream, fell in love with codeine",T,1058,[' codeine'],['codeine'],['codeine'],['codeine'],['codeine'],['codeine'],True,True,True,True,T,T,T,T,['Codeine'],['Codeine'],['Codeine'],['Codeine'],['Codeine'],['Codeine'],['Codeine'],['Codeine'],T,['Codeine']
"Uh let me get a caesar salad, please, with croutons and codeine dressing, and a diet codeine. On a codeine diet. I get all that shit,",F,1170,"[' codeine', ' codeine', ' codeine']",['codeine'],['codeine'],['codeine'],['codeine'],['codeine'],True,True,True,True,T,T,T,T,['Codeine'],['Codeine'],['Codeine'],['Codeine'],['Codeine'],['Codeine'],['Codeine'],['Codeine'],T,['Codeine']
New 'fraud squad' will crack down on criminals who steal taxpayer money -,F,1219,[],[],[],[],[],[],False,False,False,False,F,F,F,F,,,,['other'],,,,['other'],F,
"IMHO adults should be able to buy quality, tested, clean cocaine & heroin & LSD from drug stores. What's in that, fentanyl? Nope, check the label. Prohibition is a crime & every substance should be legal. I'm moderate on a lot of stuff (serious!) but I'm hardcore on legalization.",T,1233,"['lsd', 'fentanyl', 'substance']","['fentanyl', 'methamphetamine', 'lsd']","['fentanyl', 'lsd']","['fentanyl', 'lsd']","['fentanyl', 'lsd']","['fentanyl', 'lsd']",True,True,True,True,T,T,T,T,"['other', 'LSD', 'Heroin', 'Fentanyl']","['other', 'LSD', 'Fentanyl']","['other', 'LSD', 'Fentanyl']","['LSD', 'Heroin', 'Cocaine', 'Fentanyl']","['other', 'LSD', 'Heroin', 'Fentanyl']","['other', 'LSD', 'Fentanyl']","['other', 'LSD', 'Fentanyl']","['LSD', 'Heroin', 'Cocaine', 'Fentanyl']",T,"['LSD', 'Fentanyl']"
"When I were growing up all we had for brekkie was an intravenous injection of morphine, and had only a penguin in the Gobi to look forward to for supper!",T,1245,"['intravenous', 'injection', 'morphine']","['fentanyl', 'morphine']","['fentanyl', 'morphine']",['morphine'],['morphine'],['morphine'],True,True,False,False,T,T,T,T,['Morphine'],['Morphine'],['Morphine'],['Morphine'],['Morphine'],['Morphine'],['Morphine'],['Morphine'],T,['Morphine']
U one of them niggas that don't believe shit he died from overdose,T,1302,[],[],[],[],[],[],True,True,True,True,T,F,T,T,,,['other'],['Fentanyl'],,,['other'],['Fentanyl'],F,
"I was so uptight I thought I might overdose if I did that. Man, I was a stupid kid...",T,1489,[],[],[],[],[],[],True,True,False,True,T,F,T,F,,,,['other'],,,,['other'],F,
Kept her in. Excruciating pain after eating. Gave her more codeine. IV fluids. Review in the morning. Just home xxx,T,1500,[' codeine'],['codeine'],['codeine'],['codeine'],['codeine'],['codeine'],True,False,False,False,F,F,F,T,['Codeine'],['Codeine'],['Codeine'],['Codeine'],['Codeine'],['Codeine'],['Codeine'],['Codeine'],F,['Codeine']
someone buy me cough syrup with codeine and promethazine in it yuuuurt,T,1516,"['cough syrup with codeine', 'promethazine ']",['codeine'],['codeine'],['codeine'],['codeine'],['codeine'],True,True,True,True,T,T,T,T,['Codeine'],"['other', 'Codeine']","['other', 'Codeine']",['Codeine'],['Codeine'],"['other', 'Codeine']","['other', 'Codeine']",,T,"['other', 'Codeine']"
