text,label,tweet_num,found_terms,found_index_terms,GPT_found_terms,GPT_found_index_terms,pubchem_found_terms,pubchem_found_index_terms,redmed_found_terms,redmed_found_index_terms,DEA_found_terms,DEA_found_index_terms,count_found_terms
"Zoloft, Ativan,Tylenol Codeine. Indomethacin, Colchicine, Clindamaycin, Allopurinol       All at one time, on an empty stomach.  #FUN",T,116,"['ativan', 'tylenol', ' codeine']","['codeine', 'lorazepam', 'oxycodone']","['ativan', 'tylenol', ' codeine']","['codeine', 'lorazepam', 'oxycodone']","['ativan', 'codeine']","['codeine', 'lorazepam']","['ativan', 'codeine']","['codeine', 'lorazepam']",['codeine'],['codeine'],3
"The fentanyl is not overly concerning. He was an addict who also had 5.6ng/mL of norfentanyl in his system, which suggests he was metabolizing the fentanyl, not experiencing an acute overdose.",T,205,"['fentanyl', 'norfentanyl', 'fentanyl']","['fentanyl', 'norfentanyl']","['fentanyl', 'norfentanyl', 'fentanyl']","['fentanyl', 'norfentanyl']","['fentanyl', 'norfentanyl', 'fentanyl']","['fentanyl', 'norfentanyl']","['fentanyl', 'norfentanyl', 'fentanyl']","['fentanyl', 'norfentanyl']","['fentanyl', 'norfentanyl', 'fentanyl']","['fentanyl', 'norfentanyl']",3
"; i remember i was cramping so bad this one time i was in tears, Daddie gave me a morphine and Percocet.,.

I called myself going to work.,. I was sooo high.,. The nurse gave me Benadryl and  hid me the entire shift so i can sleep.,.",T,316,"['morphine', 'percocet', 'benadryl']","['diphenhydramine', 'morphine', 'oxycodone']","['morphine', 'percocet']","['morphine', 'oxycodone']","['morphine', 'benadryl']","['diphenhydramine', 'morphine']","['morphine', 'percocet']","['morphine', 'oxycodone']",['morphine'],['morphine'],3
"A Google search shows one (1) doctor, 82 yrs old, charged with over prescribing meds, among many charges. The Dr prescribed Morphine, Percocet, Xanax, and Restoril, together, the patient overdosed the following day. The doc lost his license, 5 yrs probation, no jail.",T,395,"['doctor', 'morphine', 'percocet', 'restoril']","['temazepam', 'oxycodone', 'morphine', 'mdma']","['morphine', 'percocet', 'restoril']","['temazepam', 'morphine', 'oxycodone']","['morphine', 'restoril']","['morphine', 'temazepam']","['morphine', 'percocet', 'restoril']","['temazepam', 'morphine', 'oxycodone']","['doctor', 'morphine']","['morphine', 'mdma']",4
I'm about to overdose on Benadryl bc these allergies are kicking my ass 😢,T,398,['benadryl'],['diphenhydramine'],[],[],['benadryl'],['diphenhydramine'],[],[],[],[],1
glucose unlike outward-developing gregor mendel so  zie glucose indeterminate this morphine along with peppermint as though phellem,F,505,"['mendel', 'morphine']","['meprobamate', 'morphine']",['morphine'],['morphine'],"['mendel', 'morphine']","['meprobamate', 'morphine']",['morphine'],['morphine'],['morphine'],['morphine'],2
"doesnt work, put on ventilator, gets dependent, heavy sedation more, doc says we did all we could( yep you lilled them by distroying kidneys and drowning them) no palliative treatment of morphine and adivan...DEAD. been there, done that. THERE IS NO NEED FOR THIS!",T,723,"['morphine', 'adivan']","['lorazepam', 'morphine']",['morphine'],['morphine'],['morphine'],['morphine'],"['morphine', 'adivan']","['lorazepam', 'morphine']",['morphine'],['morphine'],2
Sensitisation of nervous system from codeine withdrawal plus fibromyalgia makes it hard to know which is which. Flip a coin?,T,740,"[' codeine', 'fibromyalgia']","['pregabalin', 'codeine']","[' codeine', 'fibromyalgia']","['pregabalin', 'codeine']",['codeine'],['codeine'],['codeine'],['codeine'],['codeine'],['codeine'],2
"A migraine not even codeine can touch. I beg one of my friends, please just hack my head off. 😫",F,760,"[' codeine', 'beg']","['benzoylecgonine', 'codeine']",[' codeine'],['codeine'],"['codeine', 'beg']","['benzoylecgonine', 'codeine']",['codeine'],['codeine'],['codeine'],['codeine'],2
"When the morphine obviously wasn't working, I was given pethidine.
I was happy to try anything at this point (my 1st experience of kidney stones) knowing that peth' gave Mum violent nausea - she received it for her migraines.
But - *zip* - no nausea, no side effects - no pain! 😊",T,837,"['morphine', 'pethidine', 'zip']","['methamphetamine', 'meperidine', 'morphine']",['morphine'],['morphine'],"['morphine', 'pethidine']","['meperidine', 'morphine']",['morphine'],['morphine'],"['morphine', 'zip']","['methamphetamine', 'morphine']",3
"Asphyxia that led to cardiac arrest. You in healthcare, because that's what was testified to by the ER doctor. Overdose you slump over, you don't beg for momma or that you can't breathe.",T,943,"['doctor', 'beg']","['benzoylecgonine', 'mdma']",[],[],['beg'],['benzoylecgonine'],[],[],['doctor'],['mdma'],2
